NO;nama provinsi;nama kabupaten kota;jenis tempat hiburan;jumlah tempat hiburan;tahun
225;JAWA BARAT;KABUPATEN PANGANDARAN;PANTI PIJAT;0;2015
226;JAWA BARAT;KOTA BOGOR;NIGHT CLUB;0;2015
227;JAWA BARAT;KOTA BOGOR;PUB;0;2015
228;JAWA BARAT;KOTA BOGOR;DISKOTIK;0;2015
229;JAWA BARAT;KOTA BOGOR;KARAOKE/BAR;0;2015
230;JAWA BARAT;KOTA BOGOR;PANTI PIJAT;0;2015
231;JAWA BARAT;KOTA SUKABUMI;NIGHT CLUB;0;2015
232;JAWA BARAT;KOTA SUKABUMI;PUB;0;2015
233;JAWA BARAT;KOTA SUKABUMI;DISKOTIK;1;2015
234;JAWA BARAT;KOTA SUKABUMI;KARAOKE/BAR;10;2015
235;JAWA BARAT;KOTA SUKABUMI;PANTI PIJAT;0;2015
236;JAWA BARAT;KOTA BANDUNG;NIGHT CLUB;12;2015
237;JAWA BARAT;KOTA BANDUNG;PUB;19;2015
238;JAWA BARAT;KOTA BANDUNG;DISKOTIK;3;2015
239;JAWA BARAT;KOTA BANDUNG;KARAOKE/BAR;56;2015
240;JAWA BARAT;KOTA BANDUNG;PANTI PIJAT;29;2015
241;JAWA BARAT;KOTA CIREBON;NIGHT CLUB;1;2015
242;JAWA BARAT;KOTA CIREBON;PUB;0;2015
243;JAWA BARAT;KOTA CIREBON;DISKOTIK;0;2015
244;JAWA BARAT;KOTA CIREBON;KARAOKE/BAR;2;2015
245;JAWA BARAT;KOTA CIREBON;PANTI PIJAT;0;2015
246;JAWA BARAT;KOTA BEKASI;NIGHT CLUB;0;2015
247;JAWA BARAT;KOTA BEKASI;PUB;0;2015
248;JAWA BARAT;KOTA BEKASI;DISKOTIK;1;2015
249;JAWA BARAT;KOTA BEKASI;KARAOKE/BAR;3;2015
250;JAWA BARAT;KOTA BEKASI;PANTI PIJAT;0;2015
251;JAWA BARAT;KOTA DEPOK;NIGHT CLUB;0;2015
252;JAWA BARAT;KOTA DEPOK;PUB;0;2015
253;JAWA BARAT;KOTA DEPOK;DISKOTIK;0;2015
