id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_tempat_hiburan,jumlah_tempat_hiburan,satuan,tahun
264,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KARAOKE/BAR,5,UNIT,2015
265,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PANTI PIJAT,0,UNIT,2015
266,32,JAWA BARAT,3279,KOTA BANJAR,NIGHT CLUB,0,UNIT,2015
267,32,JAWA BARAT,3279,KOTA BANJAR,PUB,0,UNIT,2015
268,32,JAWA BARAT,3279,KOTA BANJAR,DISKOTIK,0,UNIT,2015
269,32,JAWA BARAT,3279,KOTA BANJAR,KARAOKE/BAR,0,UNIT,2015
270,32,JAWA BARAT,3279,KOTA BANJAR,PANTI PIJAT,0,UNIT,2015
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,NIGHT CLUB,0,UNIT,2016
272,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUB,0,UNIT,2016
273,32,JAWA BARAT,3201,KABUPATEN BOGOR,DISKOTIK,0,UNIT,2016
274,32,JAWA BARAT,3201,KABUPATEN BOGOR,KARAOKE/BAR,0,UNIT,2016
275,32,JAWA BARAT,3201,KABUPATEN BOGOR,PANTI PIJAT,43,UNIT,2016
276,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NIGHT CLUB,0,UNIT,2016
277,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUB,0,UNIT,2016
278,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DISKOTIK,0,UNIT,2016
279,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KARAOKE/BAR,0,UNIT,2016
280,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PANTI PIJAT,0,UNIT,2016
281,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NIGHT CLUB,0,UNIT,2016
282,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUB,0,UNIT,2016
283,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DISKOTIK,2,UNIT,2016
284,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KARAOKE/BAR,8,UNIT,2016
285,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PANTI PIJAT,0,UNIT,2016
